lingwa de planeta,inglish,ruski,worda tip,surse
gorbe jen , (kwo) hunchback,,kwo,
gorbi ," (zwo) hump, hunch, stoop",,zwo,
gorbi-ney ," (kwel) stooping, stooped",,kwel,Russian
gorila , (kwo) gorilla (ape),горилла,kwo,Portuguese
gorla , (kwo) throat,горло; горловина; gorla de botela горлышко бутылки,kwo,
gorla de botela , throat (neck) of the bottle,,,Russian
gosip ," (kwo) gossip, scuttlebutt, tittle-tattle",сплетня; gosipi сплетничать,kwo,
gosiper ," (kwo) talebearer, gossiper",,kwo,
gova , (kwo) cow/bull,"корова или бык; gin-gova, govina корова, man-gova, govo бык; govamasu говядина; yungova телёнок/тёлка; yungovamasu телятина; Govo Телец (знак зодиака)",kwo,
govamasu , (kwo) beef,,kwo,
govamasu , (kwo) beef,,kwo,
"Govo valori shao, bat Bagira-ney honor es shayad koysa batalival, – Bagira shwo bay zuy mule vos. "," The worth of a bull is little, but Bagheera’s honor is something that he will perhaps fight for,” said Bagheera in his gentlest voice.",,,
gracha , (kwo) rook (bird),грач,kwo,Russian
grada ," (kwo) degree, extent (cf. “gradus”)","степень; koygrad в некоторой мере, в определённой степени (=in sertene grada); gaograd в высокой степени, в большой мере; syaograd в небольшой степени; kwelgrad в какой мере; talgrad ke настолько, что",kwo,
gradina ," (kwo) a single stair, step, footstep; rung (step of a ladder)",ступенька (напр.лестницы),kwo,
graduale , (kwel) gradual,постепенный,kwel,
gradualem , (komo) gradually,,komo,
gradus , (kwo) degree (a unit of measurement),градус; с числительным не изменяется: pet gradus sobre nol — пять градусов выше нуля; dwashi gradus de frosta (garmitaa) двадцать градусов мороза (жары),kwo,
graf , (kwo) graph,график; граф (матем.),kwo,
grafika , (kwo) graphic,графика; grafike графический,kwo,
grafike , (kwel) graphic,,kwel,
gram , (kwo) gram,грамм; с числительным не изменяется: sto gram сто грамм,kwo,
gramatika , (kwo) grammar,грамматика,kwo,
gramatika-taim , (grammar term) grammatical tense,(грамм. термин) грамматическое время (глагола),,
gramatika-worda ," (grammar term) a non-content word with a primarily grammatical function (e.g. bu, he)","(грамм. термин) неполнозначное слово, имеющее в первую очередь грамматическую функцию (bu, he)",,
gran ," (kwel) big, large, great",большой; grantaa величина; mah-gran (granisi) увеличивать; fa-gran (granifi) увеличиваться; stara do un-ney grantaa звезда первой величины,kwel,
gran – mah-gran ," big – to make bigger, increase",,,
"gran ""big"" "," fa-gran ""get bigger, enlarge""",,,
Gran Berna Lak , (kwo) Great Bear Lake,Большое Медвежье Озеро,kwo,
Gran kom elefanta. , Big as an elephant.,,,
gran namba , big number,,,
grandiose , (kwel) grandiose,грандиозный,kwel,
granfasta , Lent,,,
granfinga , (kwo) thumb,,kwo,
granfinga , (kwo) thumb,,kwo,
granisa/granifa , (kwo) increase Ant.: syao,,kwo,
granit , (kwo) granite,гранит,kwo,Indonesian
grantaa ," (kwo) size, magnitude",,kwo,
grapa ," (kwo) cluster, bunch, a number of fruits or flowers growing along a common stalk","гроздь, кисть",kwo,
grasile , (kwel) gracile,"тонкий, изящный, стройный, грацильный",kwel,
graspi ," (zwo) grasp (to take hold of or seize firmly; comprehend), grip","1) схватывать рукой, зажимать в руке, хвататься за что-л. (синоним - kapti хватать, ловить); fa-graspi pa koysa хвататься, цепляться за что-л.; 2) понять, схватить (идею); осознать; постичь (синоним - samaji понимать); graspika рукоятка, ручка",zwo,
graspika ," (kwo) handle (haft, knob, bail, etc.)",,kwo,
grata ," (kwo) grating, grate, lattice",решётка,kwo,
grata-pruta , grate bars,,,Russian
gratis ," (komo) gratis, free of charge",бесплатно; gratis-ney бесплатный,komo,
gratis-ney , (kwel) free of charge,,kwel,
gratula , (kwo) congratulation,,kwo,
gratuli , (zwo) congratulate,поздравлять; gratula поздравление,zwo,
Gratuli ta fon may taraf. , Give him my congratulations.,,,
graula ," (kwo) growl, snarl",,kwo,
grauli ," (zwo) growl, snarl","рычать; graula рык, рычание; ek-grauli огрызаться",zwo,
grave ," (kwel) heavy, ponderous; (fig.) weighty, momentous, grave","тяжёлый; серьёзный, важный; gravitaa тяжесть; серьёзность, опасность; gravika утяжелитель, грузило",kwel,
gravela , (kwo) gravel,гравий,kwo,
gravida , (kwo) a pregnant woman,,kwo,
gravide ," (kwel) pregnant, with child",беременный; gravida беременная женщина,kwel,
gravika ," (kwo) weight (object used to make something heavier), ballast",,kwo,
gravita , (kwo) gravitation,,kwo,
gravitaa ," (kwo) heaviness, gravity",,kwo,
graviti ," (zwo) (phys. and fig.) gravitate, be attracted, tend to a center",тяготеть (тж.перен.); gravita гравитация; тяготение; kanun de gravita закон гравитации,zwo,
greipa , (kwo) grapefruit,грейпфрут,kwo,
gren , (kwo) grain (seeds of crops; crops),зерно (хлеб); крупа; greninka зёрнышко; крупинка; grendom амбар,kwo,
Grenada , (kwo) Grenada,Гренада,kwo,
grendom ," (kwo) granary, barn",,kwo,
grendom ," (kwo) granary, barn",,kwo,
greninka , (kwo) a single seed of grain,,kwo,
Grenland , (kwo) Greenland,Гренландия,kwo,
grey , (kwel) gray,"серый; седой; grey-har-ney седовласый, седой",kwel,
grey substansa , gray substance,,,
grey-har-ney , grey-haired,,,
grif , (kwo) vulture,"гриф, стервятник",kwo,
grifon , (kwo) griffin (mythical beast),грифон,kwo,
grimasa , (kwo) grimace,"гримаса; fai grimasa, grimasi делать гримасу, гримасничать",kwo,
"grimasi, fai grimasa "," (kwo) grimace, make a grimace, contort the face, make a wry face",,kwo,
grin , (kwel) green,зелёный; grintaa зелень; grinfai зеленеть,kwel,
grin pwa , green peas,,,
grinfai , (zwo) be / show green,,zwo,
grintaa ," (kwo) greenery, verdure",,kwo,
grip ," (kwo) flu, grippe, influenza",грипп; faula-grip птичий грипп,kwo,
griva ," (kwo) grief, woe, sorrow",,kwo,
griva-ney (grive) ," (kwel) sorrowful, mournful, sad",,kwel,
grivi , (zwo) grieve (feel sorrow or distress); mourn (om koysa ,"горевать; griva горе, печаль; griva-ney (grive) горестный, скорбный; mah-grivi глубоко огорчать; nogrive неунывающий",zwo,
grivi-plaki ," lament, deplore",,,
gro ," (syao-komo) ""very much, strongly"" (augmentative/intensifying particle)","(усилительное наречие) много, сильно, очень: pluvi gro идёт сильный дождь; ta chi gro он ест много, обжирается; gro-ney очень сильный, огромный",,
gro-badal , big cloud,,,
gro-farka ," great or obvious difference, contrast",,,
gro-feng ," (kwo) strong wind, gale",,kwo,
gro-gran ," (kwel) huge, enormous",,kwel,
gro-ira ," great anger, rage",,,
Gro-longtaim bak ye rega. , Once upon a time (long ago) there lived a king.,,exampla-ney frasa,
gro-ney ," (kwel) enormous, great, huge, vast",,kwel,
gro-prega , (kwo) entreaty,,kwo,
gro-pregi ," (zwo) entreat, implore, supplicate, beseech",,zwo,
gro-pyan , (kwel) blind drunk,,kwel,
gro-stik ," (kwo) cudgel, bludgeon, club",,kwo,
grog , (kwo) grog,грог,kwo,
grose , (kwel) thick,толстый; grositaa толщина; grosnik толстяк,kwel,
grose taip , thick/bold type,,,
grositaa , (kwo) thickness,,kwo,
grosnik , (kwo) stout / fat / corpulent man Ant.: dine,,kwo,
"grugru, fai grugru "," (zwo) grunt, utter a grunt",,zwo,
grumbli , (zwo) grumble,ворчать,zwo,
grunta ," (kwo) soil, ground","грунт, почва",kwo,
grupa , (kwo) group,группа; grupi группировать(ся),kwo,
grupi , (zwo) group,,zwo,
Guadelup , (kwo) Guadeloupe,Гваделупа,kwo,
gual , (kwo) coal,"уголь; gual-muver кочерга; gualifi, gualisi обугливать(ся)",kwo,
gual-muver , (kwo) poker,,kwo,
gualifi , (zwo) charr (intr.),,zwo,Scottish Gaelic
gualisi , (zwo) charr (tr.),,zwo,
guan ," (kwo) institution, establishment","общественное заведение, учреждение: fanguan столовая; frisiguan парикмахерская; kitabaguan библиотека; printiguan типография; judiguan суд; gastaguan гостиница; shutiguan тир; janmiguan роддом",kwo,
Guangjou , (kwo) Guangzhou,Гуанчжоу,kwo,
guapa , (kwo) yawn,,kwo,Indonesian
guapi , (zwo) yawn,зевать; guapa зевок,zwo,
guardia , (kwo) guard (squad),гвардия,kwo,
guardier , (kwo) guardsman (member of Guard),,kwo,
Guatemala , (kwo) Guatemala,Гватемала,kwo,
guava , (kwo) guava,гуайява,kwo,
gubra ," (kwo) dung, manure, muck",навоз; gubrajuk навозный жук,kwo,
gubrajuk , (kwo) dung-beetle,,kwo,Turkish
gubrajuk , (kwo) dung-beetle,,kwo,
gudi ," (zwo) honk, hoot, toot See also: zumbi","гудеть (о транспортных средствах, ветре)",zwo,Russian
gugol , (kwanto) googol (1 followed by 100 zeros),гугол (число: единица со ста нулями),kwanto,
guha ," (kwo) cavern, cave",пещера,kwo,Telugu
gukan , (kwo) chaff,мякина,kwo,Mandarin
gul , (kwo) ghoul,"гуль (фольклорное существо, представитель нежити)",kwo,
gulam , (kwo) slave,раб; gulamtaa рабство,kwo,
gulamtaa , (kwo) slavery,,kwo,Hindi
gulao ," (kwel) ancient, antique",древний,kwel,Mandarin
guma , (kwo) gum; rubber; eraser,резина; резинка (стирательная; жевательная); gumabanda резинка (эластичная лента),kwo,
gumabanda ," (kwo) elastic (band), rubber band",,kwo,
gun , (zwo) work,"работать: nu begin gun ba! Давайте начнём работать! gundey рабочий день, guntaim рабочее время, gunjen рабочий (человек); gunsa работа; труд; treba go a gunsa — надо идти на работу; guntura работа, труд (результат деятельности, произведение); gunpaga заработная плата, жалованье; ko-gun сотрудничать; gunbao рабочая сумка (например, с инструментами); gunshamba кабинет, рабочая комната; gunguan цех, мастерская",zwo,
gun mucho , work much,,,
gunah , (kwo) sin,"грех, прегрешение; fai gunah, gunahi грешить; gunah-pardona отпущение грехов; dai gunah-pardona, degunahi отпускать грехи. Pardoni a nu nuy gunah - Прости нам грехи наши. gunah-bakra козёл отпущения",kwo,
gunah-bakra , (kwo) scapegoat,,kwo,Turkish
"gunahi, fai gunah ", (zwo) sin,,zwo,
gundey ," (kwo) working day, workday",,kwo,
gundey ," (kwo) working day, workday",,kwo,
gunguan ," (kwo) work-place, work-room, workshop",,kwo,Mandarin
gunjen , (kwo) worker,,kwo,
gunjenta , (kwo) workpeople,,kwo,
gunpaga ," (kwo) salary, wage",,kwo,
gunsa ," (kwo) work, labour; job",,kwo,
Gunsa absorbi ta. , His work absorbed him.,,exampla-ney frasa,
gunsa gei zwo , the work is being done,,,
gunsafara , (kwo) business trip,,kwo,
gunshamba , (kwo) study (room),,kwo,
gunshil ,industrious (tending to work),,kwel,
gunstopa , (kwo) strike (a work stoppage),,kwo,
guntaim , (kwo) working time,,kwo,
guntura , (kwo) work (product of working),,kwo,
guran , (kwo) crane (bird),журавль,kwo,Sambahsa
gurka , (kwo) cucumber,огурец,kwo,Icelandic
gurkafish ,smelt (a kind of small fish). (gurka + fish) calque from Chinese: cucumber fish.,корюшка,kwo,Lidepla
gurta ," (kwo) herd, flock, drove","стадо, табун, гурт, отара; goni gurta a pilok гнать стадо на водопой; gurti ходить стадом; толпиться; gurti-shem (gurtem) стадом, толпой, гуртом ",kwo,
gurti ," (zwo) herd, flock See also: trupa",,zwo,Russian
guru , (kwo) spiritual teacher,наставник; гуру,kwo,Sanskrit
guruha , (kwo) thunder,гром; грохот; guruhi греметь; грохотать; shuta ek-guruhi грянул выстрел,kwo,Indonesian
guruhi , (zwo) thunder,,zwo,
gusli , (kwo) gusli,гусли; baji gusli играть на гуслях; guslier гусляр,kwo,
guslier , (kwo) guslar,,kwo,Russian
gusta , (kwo) taste,"вкус; gusti иметь вкус; пробовать, дегустировать; hao-gusta-ney вкусный; gustike вкусовой",kwo,
gusti , (zwo) taste (have a taste; sample the flavour of smth orally),,zwo,
gustike , (kwel) gustatory,,kwel,
guta , (kwo) drop (of liquid),капля; guti капать; vigorisi-gutas укрепляющие капли,kwo,
guti ," (zwo) drip, fall in drops",,zwo,
guting , (kwo) dripping,,kwo,
guverna , (kwo) government,"правительство; guverni властвовать, править, управлять (страной, народом); guverner губернатор; управляющий, правитель",kwo,
guverner , (kwo) governor,,kwo,
guverni , (zwo) govern (exercise authority over),,zwo,
guy ," (kwel) expensive, costly","дорогой, недешёвый; guytaa дороговизна",kwel,
guytaa ," (kwo) expensiveness, costliness",,kwo,Mandarin
gwansa ," (kwo) relation, connection, anything to do (with)",,kwo,
gwansi ," (zwo) concern (have to do with, relate to, be of importance to)","касаться, затрагивать, иметь отношение; sey dela bu gwansi me это дело меня не касается; gwansi-yen касательно, относительно; gwansa касательство, отношение; hev/fai nul gwansa a koysa не иметь никакого отношения к чему-л.; bugwansa-ney (bugwanse) не имеющий касательства; bugwansem невпопад, некстати",zwo,
gwansi-yen ," (konekti) concerning, regarding",,konekti-partikla,
gwer , (kwo) war,"война: gwer e salam война и мир; gweri вести войну, воевать; gwerjen воин; gwership военный корабль; gwer akta военные действия; gwerlik военный; воинственный; gwer-pausa, gwer-stopa перемирие",kwo,
gwer akta , military action,,,
gwer e salam , war and peace,,,
"gwer-stopa, gwer-pausa "," armistice, truce",,,
"gweri, fai gwer ", (zwo) make/wage war,,zwo,
gwerila ," (kwo) guerilla war, partisan warfare",партизанская война; gweriljen партизан,kwo,
"gwerili, fai gwerila ", (zwo) fight as a partisan,,zwo,
gweriljen ," (kwo) partisan, guerilla",,kwo,
gwerjen , (kwo) warrior,,kwo,
gwerlik , (kwel) warlike,,kwel,
gwership , warship,,,
gwin ," (zwo) gain, earn, win","зарабатывать; выиграть; получать, обретать; gwin anubav обретать опыт; gwinsa выигрыш; заработок; прибыль, доход",zwo,
gwin anubav , gain in experience,,,
gwinsa ," (kwo) gain; income, earnings Syn.: akwiri",,kwo,
gwo ," (gramatika) ""some time ago, at one time, earlier in life""","частица-показатель неопределённого прошедшего времени, которое означает действие как факт неопределённо далёкого прошлого, имеющий связь с настоящим моментом только в смысле наличия у субъекта соответствующего опыта. По-русски переводится глаголом несовершенного вида в прошедшем времени, словами ""бывало"", ""было дело"", ""одно время"": me gwo bi in Paris — я бывал в Париже; me gwo audi musika de Prokofiev — я слушал музыку Прокофьева; lu gwo zun sporta — он занимался спортом. Gwo-ney бывший, некогда являвшийся ",gramatika,
gwo-ney ," (kwel) former, has-been",,kwel,Mandarin
gwo-yusen , (kwel) secondhand,"подержанный, б/у, секонд-хенд",kwel,
ha , the name of the letter H h,"название буквы ""H h""",,
ha-ha ," (exklami, kwo) ha-ha, a sound made in imitation of laughter",ха-ха; fai ha-ha хохотать,,
habar , (kwo) (piece of) news,"известие, весть; новость",kwo,Arabic
habita , (kwo) habitation,,kwo,
habiter , (kwo) inhabitant,,kwo,
habiti ," (zwo) inhabit; dwell, live","проживать (где-л.), обитать; населять; habitilok, habita жильё; nu habiti in toy gata — мы живём на той улице; habitibile годный для жилья, жилой; buhabiti-ney (buhabiten) нежилой, незаселённый; en-habiti nove dom вселиться в новый дом; shanji habita (a koylok) переезжать, переехать (на новое место жительства); habitisi поселять, вселять, обеспечивать жильём; habiter житель, обитатель",zwo,
habitibile , (kwel) habitable,,kwel,
habitilok , (kwo) habitation (place) (apartment is “flat”),,kwo,
habitilok ," (kwo) living place, habitation",,kwo,
habitisi ," (zwo) accommodate, lodge",,zwo,
haf ," (kwo, syao) half","половина; пол-: haf-dey полдня, haf-ora полчаса; mah-haf располовинить, разделить пополам; pa haf наполовину, вдвое",,
haf-brata , (kwo) half-brother,брат по одному из родителей,kwo,
haf-dey , (kwo) half a day,,kwo,
haf-luma , (kwo) twilight,"полусвет; сумерки, сумрак",kwo,
haf-ora , (kwo) half an hour,,kwo,
haf-sfera , (kwo) hemisphere,,kwo,
haf-sista , (kwo) half-sister,сестра по одному из родителей,kwo,
hafnyum , (kwo) hafnium (chem.),гафний (хим.),kwo,
hahavata ," (kwo) guffaw, boisterous laugh",,kwo,
hahavati ," (zwo) guffaw, laugh boisterously, roar with laughter","хохотать, гоготать; hahavata хохот, гогот",zwo,
haifen , (kwo) hyphen,дефис,kwo,
haili ," (zwo) heal, cure",вылечивать(ся); выздоравливать,zwo,German
haishi ," (taim-komo) still, as yet, so far","ещё (по-прежнему, пока, до сих пор, всё ещё): es haishi rane ещё рано; bu haishi ещё не, ещё нет. Сравни yoshi, yo",taim-komo,
haki ," (zwo) hew, hack, chop, cut",рубить; haki ligna колоть дрова; haki bay zian рубить мечом; haking рубка; hakimarka зарубка,zwo,
haki bay zian , cut with a sword,,,
haki ligna , chop wood,,,
haki ligna , chop wood,,,
haki los , chop off,,,
hakimarka , (kwo) notch,,kwo,
hakma , (kwo) (court) trial,,kwo,
hakmi , (zwo) try (examine by judicial process),"судить (в суде); hakma суд, разбирательство; hakmiwan подсудимый",zwo,
hakmiwan ," (kwo) defendant, the accused, prisoner at the bar",,kwo,Swahili
halat , (kwo) circumstance; circumstances,обстоятельство; al tal halat при таких обстоятельствах,kwo,
halich , (kwo) gulf (geogr.),залив,kwo,Arabic
halif , (kwo) caliph,халиф,kwo,
halifat , (kwo) caliphate,халифат,kwo,
halka , (kwo) ring (a circumscribing object),"кольцо (в частности на пальце); aurhalka серьга (колечко); harhalka локон; halka-ney кольцевой; кольчатый, состоящий из колец; halkafinga безымянный палец; halka-dansa хоровод; fai halka-dansa водить хоровод; brachahalka, gambahalka браслет (в виде кольца на руке или ноге)",kwo,
halka-dansa , (kwo) round danse,,kwo,
halka-ney ," (kwel) annular, ring-shaped",,kwel,
halka-pan ," (kwo) bagel, ring-shaped roll",,kwo,
halkafinga , (kwo) ring-finger,,kwo,
halkafinga , (kwo) ring finger (finger between middle finger and little finger),,kwo,
haloo (halo) , (exklami) hallo (used also over the telephone),,exklami-partikla,
halusina , (kwo) hallucination,"галлюцинация; halusini видеть галлюцинации, галлюцинировать",kwo,
halusini , (zwo) hallucinate,,zwo,
halwa , (kwo) halva,халва,kwo,Arabic
ham , (kwo) ham (food),ветчина,kwo,
hamak , (kwo) hammock,гамак,kwo,Bulgarian
hamir , (kwo) yeast,дрожи,kwo,Arabic
hampi , (komo) almost,почти,komo,
hamra , (kwo) hammer,"молот, молоток; hamri бить молотком; ek-hamring удар молотом",kwo,
hamri , (zwo) hammer,,zwo,
hamsa , (kwo) whisper,,kwo,Arabic
hamsi , (zwo) whisper,шептать; hamsa шёпот,zwo,
hamsta , (kwo) hamster,хомяк,kwo,
han,2) khan See also: Jungwo,1) китаец; китайский; китайский язык (тж.putunhua); 2) хан,,
han ," 1) (kwel, kwo) Chinese (relating to ethnicity, language or country)",1) китаец; китайский; китайский язык (тж.putunhua); 2) хан,kwo-kwel,
handa , (kwo) hand,рука (кисть); handi вручать; handing вручение; handagunsa ремесло; ручная работа; handabey тыльная сторона руки,kwo,
handa-batala , hand-to-hand fighting,,,
handa-kao ," (kwo) handcuffs, manacles",,kwo,
handa-mani ," (kwo) ready cash, money in hand",,kwo,
handabao , (kwo) handbag,,kwo,Mandarin
handabey , (kwo) the back of one’s hand,,kwo,
handagunsa , handwork,,,
handak ," (kwo) ditch, trench",ров; канава; окоп; траншея,kwo,Arabic
handakloka , (kwo) wrist watch,,kwo,
handi , (zwo) hand (to give or pass with the hands),,zwo,
Hanguk , (kwo) South Korea,Южная Корея,kwo,
hanjen , (kwo) Chinese (person of Chinese ethnicity),,kwo,
hanlingwa , (kwo) Chinese language (syn.: putunhua),,kwo,
Hanoi , (kwo) Hanoi,Ханой,kwo,
hansa , (kwo) swan,лебедь,kwo,Hindi
hanzi ," (kwo) Chinese characters, Hanzi",китайские иероглифы,kwo,Mandarin
hao ," (kwel, komo) good; well","хорошо, хороший; благополучный; ладно: olo kel fini hao es hao всё хорошо, что хорошо кончается; bi hao! Будь здоров! Пожалуйста! (в ответ на благодарность). Hao dey! Добрый день! Hao safara! Счастливого пути! Hao fortuna! Удачи! hao-hao хорошенько: hao-hao brashi butas! хорошенько чисти ботинки! ",kwel-komo,
hao – mah-hao ," good – to make better, improve",,,
"hao ""good, well"" "," gro-hao ""great, excellent""",,,
Hao aksham! , Good evening!,,,
hao dey! , good day!,,,
Hao dey! , Good day!,,,
hao eduki-ney ," well-bred, well-mannered, well brought up",,,
Hao for-gunsa! , I wish you good luck on your further work.,,,
"Hao fortuna a yu, oo shefa de wulfas! "," Good luck go with you, O Chief of the Wolves!",,,
Hao fortuna! , Good luck!,,,
Hao fortuna! , Good luck!,,,
hao intenta , good intentions,,,
hao kamina , good road,,,
hao material fo filma , good material for a film,,,
Hao nocha! , Good night!,,,
hao nocha! , good night!,,,
Hao nocha! Sama a yu! ,Good night! Same to you!,,,
Hao nove yar! , Happy New Year!,,,
Hao sabah! , Good morning!,,,
Hao sabah! , Good morning!,,,
Hao safara! , Have a good trip!,,,Mandarin
Hao safara! , Have a good trip!,,,
hao-audi-ke musika , a music that is good to hear,,exampla-ney frasa,
hao-chi-ke fan , a tasty food,,,
hao-gusta-ney , (kwel) tasty,,kwel,
hao-samaji-ke ," easy to understand, understandable",,,
hao-stasa-ney , in a good condition,"исправный, в хорошем состоянии",,
hao-yusi-ke , handy,,,
Hao!," Good, OK!",,,
haohunten , (kwel) coherent (Origin: hao+hunti+ney),"связный, последовательный ",kwel,Lidepla
haotaa , (kwo) good,"добро, благо: fo haotaa de sosietaa на благо общества; haotaas de sivilisasion блага цивилизации; lucha de haotaa e baditaa борьба добра и зла ",kwo,
har ," (kwo) hair, hairs (chevelure)",волосы; harinka волос; harhalka локон; har stan волосы встают дыбом; ragi-she har торчащие волосы,kwo,
harem , (kwo) harem,гарем,kwo,Turkish
harhalka ," (kwo) lock, curl, ringlet",,kwo,
harhalka ," (kwo) lock, curl, ringlet",,kwo,
harhari , (zwo) expectorate,харкать,zwo,Hindi
harinka , (kwo) a single hair,,kwo,
harkata , (kwo) haircut,,kwo,
harmoni ," (zwo) harmonize (be in agreement, be harmonious)",,zwo,
harmonia , (kwo) harmony,"гармония; harmonike гармоничный, гармонический; harmoni гармонировать; harmonisi гармонизировать",kwo,
harmonike , (kwel) harmonious,,kwel,
harmonisi , (zwo) harmonize (v.tr.),,zwo,
harpartika , (kwo) hair parting Origin: har+partika,пробор,kwo,Lidepla
hashish , (kwo) hashish,гашиш,kwo,Arabic
hasima ," (kwo) defeat, loss","поражение, разгром; fai hasima потерпеть поражение",kwo,
hasta ," (kwo) hurry, haste",,kwo,
hasta-ney (haste) ," (kwel) hasty, hurried",,kwel,
hasti , (zwo) be in a hurry,"спешить, торопиться; hasta спешка; sin hasti - не спеша; pa hasta поспешно, в спешке; hasta-ney (haste) поспешный; hasti-muvi поспешно двигаться, суетиться",zwo,
hasti-muvi ," bustle, move hastily",,,
hasyum , (kwo) hassium (chem.),хассий (хим.),kwo,
hata , (kwo) peasant house (esp. in Ukraine and Russia),"хата, изба, деревенский дом; избушка",kwo,Ukrainian
Hay Forsa bi kun yu! , May the force be with you!,,,
hay may yaosa fulfil! , may my wish come true!,,,
Hay oni shwo to ke oni yao. ," Let them say what they like. (cf. ""ba"")",,,Slavic
hay!1 , (exklami) hi!,,exklami-partikla,
hay2 ," (gramatika) let, may (wish; leave)",,gramatika,
Hayastan , (kwo) Armenia,Армения,kwo,
he , (gramatika) past tense marker,частица-показатель прошедшего времени: me he shwo я сказал (альтернативный вариант — послеглагольная частица te: me shwo-te),gramatika,
hek ," (kwo) pick, hack",кирка,kwo,
hektar , (kwo) hectare,гектар,kwo,
helikopta , (kwo) helicopter,вертолёт,kwo,Bislama
helma , (kwo) helmet,шлем,kwo,
helma-faska , (kwo) visor (part of helmet),забрало,kwo,Czech
helpa , (kwo) help,,kwo,
helpalingwa , (kwo) auxiliary language,,kwo,
helpi ," (zwo) help, aid",помогать; helpi koywan помогать кому-л.; helpa помощь; kun helpa de с помощью; helpalingwa вспомогательный язык; nohelpi мешать; helpike вспомогательный,zwo,
helpi koywan , to help smb,,,
helpike , (kwel) auxiliary,,kwel,
helyum , (kwo) helium (chem.),гелий,kwo,
hema , (kwo) blood,"кровь; hema-ney кровный, кровяной; hema-vasa кровеносный сосуд; hemaful кровавый; hemi кровоточить; heming кровоточение; hema-pyasa-ney кровожадный; hema-rude кроваво-красный, багряный, багровый",kwo,
"hema-ney, hemaful ", (kwel) bloody,,kwel,
hema-pyasa-ney , blood-thirsty,,,
hema-rude ," (kwel) blood red, crimson",,kwel,
hema-sosis ," blood sausage, blood pudding",,,
hema-vasa , blood vessel,,,
hemalogia , (kwo) hematology,гематология,kwo,
hemi , (zwo) bleed,,zwo,
heming ," (kwo) bleeding, haemorrhage",,kwo,Greek
hena , (kwo) hatred,,kwo,
heni , (zwo) hate,"ненавидеть: ela heni swa она ненавидит себя; hena ненависть; henival гнусный, ненавистный, низкий",zwo,
henival , (kwel) odious,,kwel,Mandarin
henri , (kwo) henry,генри; sto milihenri сто миллигенри,kwo,
hepata , (kwo) liver (organ),печень,kwo,
herba , (kwo) grass; herb,трава; lekiherba лечебные травы; herbinka травинка,kwo,
herbinka , (kwo) a blade of grass,,kwo,
hereda , (kwo) heritage; inheritance,,kwo,
hereda-ney (herede) , (kwel) hereditary,,kwel,
hereder , (kwo) heir,,kwo,
heredi ," (zwo) inherit, be the heir to; succeed (to)","наследовать, унаследовать; hereda наследие, наследство; hereda-ney (herede) наследственный; hereder наследник; heredi koysa fon koywan унаследовать что-л. от кого-л.",zwo,
heredi koysa fon koywan , inherit smth from smb,,,
hermete ," (kwel) hermetic, sealed, airtight",герметичный; hermetitaa герметичность; hermetisi герметизировать; dehermeta разгерметизация,kwel,
hermetem , (komo) hermetically,,komo,
hermetisi , (zwo) make hermetic,,zwo,
hero , (kwo) hero,герой; herolik героический; heroisma героизм,kwo,
Herodus , (kwo) Herod,Ирод,kwo,
heroisma , (kwo) heroism,,kwo,
herolik , (kwel) heroic,,kwel,
hesita , (kwo) hesitation,,kwo,
hesiti ," (zwo) hesitate, falter","колебаться, быть в нерешительности; hesita нерешительность, сомнение, колебание",zwo,
hev , (sta) have,"иметь: me hev bisikla у меня есть велосипед; en-hev заиметь, завладеть, раздобыть, достать, заполучить; hevsa имение; имущество",,
hev abyas ," to be accustomed, to be wont, to be in the habit of",,exampla-ney frasa,
hev taim fo zwo koysa , to have time to do smth,,,
hev vertiga , to be dizzy,,,
hev/fai nul gwansa a koysa ," have no connection with smth, bear no relation to smth",,,
hevsa ," (kwo) possession; property, belongings",,kwo,
hey! , (exklami) hey! (used to attract attention) giddyup!,,exklami-partikla,
hi ," (gramatika) ""exactly, it's...that"" (emphasizes the previous word)","усилительная, выделительная частица, подчёркивает предыдущее слово: me hi zwo-te se это сделал именно я; lu ve go dar hi он пойдёт именно туда; es toy hi jen это тот самый человек; nau hi - прямо сейчас: me bu mog zwo se nau hi я не могу сделать этого прямо сейчас. Me bu jan wen ta lai e ob ta lai hi. - Я не знаю, когда он придёт, и придёт ли он вообще. Ya hi! - Да, ещё бы! Конечно! Non hi! — Нет же! ну нет! Bu hi go! Не ходи, не вздумай! Yu mog hi wen yu yao hi. - Можешь, когда захочешь.",gramatika,
"hi-hi, hi-hi-hi "," (exklami, kwo) tee-hee",,,
hidra , (kwo) hydra (also myth.),гидра,kwo,
hidrogen , (kwo) hydrogen (chem.),водород,kwo,
hidropsia , (kwo) dropsy,водянка,kwo,
hiena , (kwo) hyena,гиена,kwo,
hieroglif , (kwo) hieroglyph,иероглиф (см.тж.hanzi); hieroglifike иероглифический; hieroglifike skriba иероглифическое письмо,kwo,
hieroglifike , (kwo) hieroglyphic,,kwo,
hieroglifike skriba , hieroglyphic writing See also: hanzi,,,
higiena , (kwo) hygiene,гигиена,kwo,
hiki , (zwo) hiccup,икать; hiking икание,zwo,
hiking , (kwo) hiccup,,kwo,
hili ," (zwo) stagger, be unsteady, sway, reel","шатать(ся); расшатывать(ся), лишать(ся) устойчивости, пошатнуться; dushman en-hili враги дрогнули",zwo,
